INDEX,KR,EN
0,"잉크젯 프린터의 원리를 이용한 프린팅 방식으로, 미세 노즐을 이용하여 빛에 경화되는 성질의 액상 폴리머수지를 원하는 패턴으로 분사한 뒤, 자외선(UV)램프로 포토큐어링을 반복하여 조형합니다.<n><n>재료분사 방식의 대표적인 세부조형방식에는 <n>폴리젯(PolyJet), 멀티젯(Multi Jet Printing)이 있습니다.",No Translation 0
1,"모델 조형에는 액체상태의 광경화성 재료인 아크릴 포토폴리머(Acrylic Photopolymer) 혹은 아크릴 화합물인 올리고머(Oligomer)등을 사용하고, 서포트 조형에는 왁스(Wax)를 사용합니다. <n><n>아크릴 계열의 재료를 사용하면 조형물의 투명도 조절이 가능하고, 정밀도가 우수하며 표면 조도가 양호하다는 장점이 있지만, 상대적으로 강도가 취약하고 고온(65℃ 이상)에서 열변형 가능성이 있습니다.",No Translation 1
2,"재료분사방식 프린터의 프린팅 과정을 알아보겠습니다. <n><n>1. 먼저, 재료 공급 장치에서 재료를 공급받습니다.<n>2. 다음으로 프린트 헤드의 노즐을 통해 모델 및 서포트 재료를 <n>    빌드 트레이에 분사합니다.<n>3. 자외선(UV) 램프로 분사된 재료를 경화합니다.<n>4. 레이어 프린팅이 완료되면, 지정된 두께만큼 빌드 트레이가 하강합니다.<n>5. 위 과정을 반복합니다.",No Translation 2
3,우측의 물체를 클릭하면 자세히 살펴보실 수 있습니다.,No Translation 3
4,// 아래부터 UI,No Translation 4
101,작동개념 및 구조 학습,TitleText
102,재료분사프린터 지식,SubTitle
103,재료분사3D프린터,MaterialJettingPrinterTitle
104,MATERIAL JETTING 3D PRINTER,MaterialJettingPrinterTitleEng
105,작동개념,Tab Title 1
106,조형재료,Tab Title 2
107,프린팅과정,Tab Title 3
108,구조,Tab Title 4
109,재료분사프린터,Material Jetting Printer
110,워터젯,WaterJet
111,프린터 블록,Printer Block
112,UV램프,UV Lamp
113,프린터 헤드,Printer Head
114,진공,Vaccum
115,펌프,Pump
116,<b>자외선(Ultraviolet Ray)</b> : 파장 범위 10-280nm 빛으로서, 파장이 가시광보다 더 짧고 엑스선보다는 더 긴 전자기파의 총칭,Help Me Text 1
117,<b>포토큐어링(Photo Curing)</b> : 고무, 수지 등을 가열하여 경화시키는 과정,Help Me Text 2
118,<b>자외선램프</b><n>분사 된 재료를 큐어링하는 역할,Hover Text 1
119,<b>프린터 헤드</b><n>모델 재료 및 서포트 재료를 트레이에 분사하는 역할,Hover Text 2
120,<b>진공</b><n>헤드에서 재료가 떨어지지 않도록 하는 역할,Hover Text 3
121,<b>펌프</b><n>재료를 프린터 블록에 전달하는 역할,Hover Text 4
122,<b>열변형(Thermal Strain)</b> : 열에 의해 형태나 크기 등이 변형되는 과정,Help Me Text 3
123,<b>모델 재료</b><n>프린팅 시 모델 조형에 사용되는 재료,Hover Text 5
124,<b>서포트 재료</b><n>프린팅 시 서포트 조형에 사용되는 재료,Hover Text 6
125,빠르게 +,Video Btn Text 1
126,느리게 -,Video Btn Text 2
127,원래속도로,Video Btn Text 3
128,<b>빌드트레이(Build Tray)</b> : 베드(Bed)와 같은 의미의 프린팅 영역,Help Me Text 4
