INDEX,KR,EN
0,<color=#699CB0>상단 빌드 챔버 도어</color>는 조형이 이루어지는 공간입니다,
1,<color=#699CB0>하단 빌드 챔버 도어</color>는 재료 카트가 보관되는 공간입니다.,
2,<color=#699CB0>비상 정지 스위치</color>는 비상상황에서 기계를 정지시킬 때 사용합니다.,
3,<color=#699CB0>GUI(그래픽 인터페이스)</color>는 프린터 조작을 위한 터치 스크린입니다.,
4,"<color=#699CB0>상태 표시기</color>는 프린터의 작동 상태(레이저, 시스템) 등을 표시합니다.",
5,<color=#699CB0>USB포트</color>는 슬라이싱된 데이터를 입력할 때 사용합니다.,
6,<color=#699CB0>챔버 라이트 스위치</color>는 챔버 내부의 라이트를 점멸합니다.,
7,<color=#699CB0>컴퓨터 전원 스위치</color>는 프린터 내부의 컴퓨터를 켜거나 끕니다.,
8,<color=#699CB0>본체 전원 스위치</color>는 프린터 본체의 전원을 켜거나 끕니다.,
9,<color=#699CB0>엘리베이터</color>는 빌드 플랫폼을 Z축 방향으로 이동합니다.,
10,<color=#699CB0>엘리베이터 포크</color>는 빌드 플랫폼을 고정합니다.,
11,<color=#699CB0>옴론 센서</color>는 프린터 트레이의 재료 수위를 감지하는 센서입니다.,
12,<color=#699CB0>어플리케이터 암</color>은 블레이드를 이동합니다.,
13,<color=#699CB0>어플리케이터 블레이드</color>는 경화 전 프린터 트레이의 재료를 평탄화 합니다.,
14,"<color=#699CB0>빌드 플랫폼</color>은 프린트 트레이 위에 놓이는 판으로 조형물이 놓여지는 공간입니다. 빌드플랫폼 양 끝에는 엘리베이터 포크와 연결을 위해 파인 홈이 있는데, 이것을 컷아웃이라고 합니다.",
15,<color=#699CB0>챔버 히터</color>는 빌드 챔버 및 재료의 온도를 제어합니다.,
16,<color=#699CB0>핀</color>은 재료 카트 장착 시 고정해 줍니다.,
17,<color=#699CB0>재료 카트 코드</color>는 재료 카트에 전원을 공급하고 신호를 전달합니다.,
18,<color=#699CB0>프린트 트레이</color>는 조형이 이루어지는 공간입니다.,
19,<color=#699CB0>재료 카트 커넥터</color>는 하단 빌드 챔버에 부착된 재료 카트 코드와 연결됩니다.,
20,<color=#699CB0>재료 저장소</color>는 재료를 보관하며 프린트 트레이에 재료를 공급합니다.,
21,<color=#699CB0>조형 재료</color>는 광경화성 수지가 담긴 병을 재료로 사용합니다.,
22,<color=#699CB0>UV 경화장치</color>는 자외선으로 수지를 경화시킵니다.,
23,이제 마우스를 이용해서 자유롭게 살펴보실 수 있습니다.,
24,,
25,,
26,,
