INDEX,KR,EN
0,"안녕하세요. 광중합3D프린터 실습에 오신 것을 환영합니다.<n>지금 보고 계신 것은 정상적으로 프린팅을 마친 뒤, 후처리까지 완료한 조형물입니다.",No Translation0
1,"이번 광중합3D프린터 실습은 총 12개 단계로 진행되며, <n>프린터를 설정하고 조작하여 위와 같은 조형물을 완성하는 것을 목표로 합니다.",No Translation60
2,"그럼, 작업에 필요한 도구와 장비를 확인해 볼까요?<n>테이블 위 도구에 마우스를 올리시면 자세한 설명을 확인하실 수 있습니다.<n>확인을 마치셨다면 우측 하단의 ‘다음’ 버튼을 눌러 실습을 진행해 주세요.",No Translation1
3,재료 카트를 장착해보겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,No Translation2
4,"상, 하단 빌드 챔버 도어를 엽니다.",No Translation3
5,어플리케이터 암이 프린터 트레이에서 제거된 상태인지 확인합니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,No Translation4
6,재료 카트를 하단 빌드 챔버안으로 천천히 밀어넣습니다.,No Translation5
7,재료 카트의 구멍에 챔버의 핀을 일치시켜 꼽아줍니다.,No Translation6
8,재료 카트 코드를 커넥터에 꼽아줍니다.,No Translation7
9,빌드 플랫폼을 장착해보겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,No Translation8
10,빌드 플랫폼을 상단 빌드 챔버 안에 있는 엘리베이터 포크에 장착합니다.<n>홈과 턱이 일치된 것을 확인하며 결합해 주세요.,No Translation9
11,"재료 카트와 빌드 플랫폼을 장착하였으니, 프린터 전원을 켜보겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.",No Translation10
12,"상, 하단 빌드 챔버 도어를 닫습니다.",No Translation11
13,기계 후면에 위치한 프린터 스위치를 켭니다.,No Translation12
14,프린터 상태를 확인하려면 먼저 프린터 컴퓨터 시스템에 로그인해야 합니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,No Translation13
15,프린터 컴퓨터 인터페이스의 '로그인' 버튼을 터치합니다.,No Translation14
16,"관리자로부터 부여받은 아이디와 비밀번호를 입력합니다. (아이디 : guest, 비밀번호 : 0)",No Translation15
17,"프린팅을 지시하기 전, 프린터가 정상적인 상태인지 확인해보겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.",No Translation16
18,챔버 온도를 확인합니다.<n>정상범위는 30℃ 안팎입니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,No Translation17
19,재료 온도를 확인합니다.<n>정상범위는 30℃ 안팎입니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,No Translation18
20,프린터 상태를 확인합니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,No Translation19
21,재료가 부족하다는 알림이 뜨고 있습니다.<n>재료를 보충해보겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,No Translation20
22,하단 챔버 도어를 엽니다.,No Translation21
23,재료 탈거 버튼을 누르고 홀더를 탈거합니다.,No Translation22
24,홀더에서 빈 재료 병을 제거합니다.,No Translation23
25,송곳을 이용하여 새 재료 뚜껑에 작은 구멍을 뚫어줍니다.,No Translation24
26,새 재료를 재료 홀더에 장착합니다.,No Translation25
27,홀더를 원래 위치에 장착합니다.,No Translation26
28,하단 및 상단 챔버 도어를 닫고 잠급니다.<n>재료 보충이 완료되었습니다.,No Translation27
29,재료를 보충하였으니 빌드 플랫폼을 레벨링하겠습니다.<n>[Advanced] 버튼을 클릭하세요.,No Translation28
30,프린터 컴퓨터 인터페이스에서 [Elevator / Leveler]를 터치합니다.,No Translation29
31,[Start] 버튼을 클릭하여 빌드 플랫폼 자동 레벨링을 합니다.,No Translation30
32,이제 슬라이싱 작업을 해보겠습니다.<n>프린터에 USB를 연결합니다.,No Translation31
33,슬라이서 인터페이스에서 [모델 불러오기]를 클릭합니다.,No Translation32
34,EX1과 EX2를 모두 선택합니다. (복수 배치),No Translation33
35,[이동] 명령을 실행하여 모델을 권장영역으로 이동합니다. (드래그 사용),No Translation34
36,[회전] 명령을 실행하여 모델을 권장영역으로 회전합니다.,No Translation35
37,[모델뷰] 명령을 실행하여 챔버 배치 상태를 확인합니다.,No Translation36
38,[배치오류 확인] 명령과 [프린팅시간 계산] 명령을 실행하여 배치오류 및 프린팅 시간을 확인합니다.,No Translation37
39,슬라이싱 작업이 완료되었습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,No Translation38
40,[Start Print] 버튼을 클릭하여 프린팅을 지시합니다.,No Translation39
41,프린팅을 지시해보겠습니다.<n>[Start Print] 버튼을 클릭하여 프린팅을 지시합니다.,No Translation40
42,프린팅 전 워밍업이 실시됩니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,No Translation41
43,"레이저에 의해 경화가 시작되고 프린터 상태창에 조형진도, 시간, 높이, 레이어 등이 나타납니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.",No Translation42
44,프린팅이 완료되었습니다. 조형물을 회수해보겠습니다.<n>다음 버튼을 눌러 실습을 진행해 주세요.,No Translation43
45,프린터 컴퓨터 인터페이스에서 [complete] 메시지를 터치합니다.,No Translation44
46,빌드 플랫폼 오프로드 위치에 대한 안내창이 뜹니다.<n>[Yes] 버튼을 클릭하세요.,No Translation45
47,"방진마스크, 니트릴장갑, 보안경을 착용합니다.",No Translation46
48,상단 빌드 챔버 도어를 열고 빌드 플랫폼을 탈거합니다.,No Translation47
